tree_id,common_name,genus,dbh_cm,useful_life_years,useful_life_label,age_description,located_in,precinct,lat,lon,shade_score,suburb_id
1040464,Moreton Bay Fig,Ficus,160.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81132259,144.97882,0.0061,297979799
1040471,Canary Island Pine,Pinus,80.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81170141,144.979404,0.0031,297979799
1040474,English Elm,Ulmus,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81212261,144.9791936,0.0027,297979799
1040476,Mexican or Washington Palm,Washingtonia,32.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81215957,144.9793468,0.0012,297979799
1040478,Jacaranda,Jacaranda,30.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81205335,144.9796099,0.0012,297979799
1040485,Lilly Pilly,Syzygium,24.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81186662,144.9796965,0.0009,297979799
1040498,Moreton Bay Fig,Ficus,160.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81127017,144.9804427,0.0061,297979799
1040500,Toromeo,Ficus,140.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81125764,144.9800127,0.0054,297979799
1040501,Horse Chestnut,Aesculus,50.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81101415,144.9803183,0.0019,297979799
1040504,Purple Branched Elm,Ulmus,15.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81162272,144.9807647,0.0006,297979799
1040515,Variegated Elm,Ulmus,34.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81260744,144.9824934,0.0013,297979799
1040518,Canary Island Date Palm,Phoenix,50.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81291347,144.9828615,0.0019,297979799
1040520,Japanese Flowering Cherry,Prunus,30.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81287475,144.9824527,0.0012,297979799
1040521,Lombardy Poplar,Populus,50.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81295046,144.9824747,0.0019,297979799
1040527,Canary Island Date Palm,Phoenix,45.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.8132269,144.982808,0.0017,297979799
1040529,Variegated Elm,Ulmus,45.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81309979,144.9821221,0.0017,297979799
1040532,Canary Island Pine,Pinus,58.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81261948,144.982113,0.0022,297979799
1040535,English Elm,Ulmus,60.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.8125725,144.9819106,0.0023,297979799
1040537,English Elm,Ulmus,89.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81237568,144.9820224,0.0034,297979799
1040539,English Elm,Ulmus,70.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81251894,144.981779,0.0027,297979799
1040540,Swamp White Oak,Quercus,12.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81245723,144.9816298,0.0005,297979799
1040545,English Elm,Ulmus,100.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81272256,144.9814186,0.0038,297979799
1040546,English Elm,Ulmus,90.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81280139,144.9815382,0.0035,297979799
1040549,English Elm,Ulmus,70.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81286247,144.9812112,0.0027,297979799
1040555,English Elm,Ulmus,90.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81309546,144.9808818,0.0035,297979799
1040556,English Elm,Ulmus,100.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81316394,144.9807764,0.0038,297979799
1040570,Deodar,Cedrus,50.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81353527,144.9811732,0.0019,297979799
1040576,Deodar,Cedrus,50.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.8134994,144.9809259,0.0019,297979799
1040577,Wych Elm,Ulmus,20.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81153824,144.9799825,0.0008,297979799
1040581,Deodar,Cedrus,55.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81354625,144.9813036,0.0021,297979799
1040587,Oak,Quercus,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81341511,144.9818014,0.0027,297979799
1040590,Pyramid Tree,Lagunaria,50.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81347329,144.9821465,0.0019,297979799
1040594,Deodar,Cedrus,35.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81364517,144.9824334,0.0013,297979799
1040596,Long-leaved Indian Pine,Pinus,90.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81363236,144.9825725,0.0035,297979799
1040598,Weeping Myrtle,Syzygium,35.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81346388,144.9828118,0.0013,297979799
1040600,Norfolk Island Pine,Araucaria,45.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81386288,144.9826461,0.0017,297979799
1040606,Brush Box,Lophostemon,35.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81424424,144.9824019,0.0013,297979799
1040608,Deodar,Cedrus,60.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81384573,144.9823556,0.0023,297979799
1040616,Deodar,Cedrus,65.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81375604,144.9816816,0.0025,297979799
1040617,Deodar,Cedrus,58.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81374996,144.9815793,0.0022,297979799
1040622,Deodar,Cedrus,38.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81370597,144.9811628,0.0015,297979799
1040624,Deodar,Cedrus,80.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81369009,144.9809856,0.0031,297979799
1040625,Deodar,Cedrus,40.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81367784,144.980895,0.0015,297979799
