suburb_id,suburb_name,centroid_lat,centroid_lng
203011034,Bannockburn,-38.06977075826914,144.1786224383735
203011035,Golden Plains - South,-37.942108104558315,143.9395405079638
203011036,Winchelsea,-38.2554295157674,144.04280855489796
203021037,Belmont,-38.178575024994515,144.34212818145656
203021039,Geelong,-38.1638370804895,144.36987385534704
203021040,Geelong West - Hamlyn Heights,-38.12651252868871,144.30195034693185
203021042,Highton,-38.17777390766838,144.28599314499786
203021043,Lara,-37.94775361454301,144.37799459224001
203021044,Leopold,-38.19281222639003,144.46889814955523
203021045,Newcomb - Moolap,-38.17982735835306,144.41761647004907
203021046,Newtown (Vic.),-38.15393910064424,144.33504899852917
203021047,North Geelong - Bell Park,-38.10215161939803,144.32136749926096
203021485,Charlemont,-38.215676158342134,144.36002942492155
203021486,Corio - Lovely Banks,-38.05045128888243,144.3226007816606
203021487,Grovedale - Mount Duneed,-38.2219869374931,144.29925931361004
203021488,Norlane,-38.091595259683245,144.35928546248675
203031048,Clifton Springs,-38.17394785126658,144.57602028759104
203031049,Lorne - Anglesea,-38.441907155977944,144.01971383250452
203031051,Portarlington,-38.15333503895862,144.66581928717162
203031052,Point Lonsdale - Queenscliff,-38.234324312296735,144.61668520282055
203031053,Torquay,-38.32022800350986,144.2807034836729
203031489,Barwon Heads - Armstrong Creek,-38.25644720656768,144.41960157884057
203031490,Ocean Grove,-38.2380298889165,144.53033398837775
204011054,Alexandra,-37.31847452288863,145.79436050104113
204011055,Euroa,-36.73257520491538,145.59762091747032
204011056,Kilmore - Broadford,-37.24637172735247,144.98328519078456
204011057,Mansfield (Vic.),-37.19682667546459,146.20752997013855
204011058,Nagambie,-36.82030575654458,145.15544155626964
204011059,Seymour,-37.01601602677202,145.16214574522743
204011060,Seymour Surrounds,-37.04598442642381,144.9583618125871
204011061,Upper Yarra Valley,-37.65149155058366,145.97602569244344
204011062,Yea,-37.26093415286143,145.43239968756947
204021063,Benalla,-36.57887429534102,145.99674889633837
204021064,Benalla Surrounds,-36.58113124229182,146.01647581066936
204021065,Rutherglen,-36.066022463333404,146.42605457313698
204021066,Wangaratta,-36.358899947355134,146.30964138492288
204021067,Wangaratta Surrounds,-36.59114189177008,146.42996618946287
204031068,Beechworth,-36.34218782603258,146.71468325860724
204031069,Bright - Mount Beauty,-36.895632880938685,146.9966691746903
204031070,Chiltern - Indigo Valley,-36.15638556538468,146.64926598522888
204031071,Myrtleford,-36.55264316587047,146.81070444547203
204031072,Towong,-36.354293846321525,147.5991359868167
204031073,West Wodonga,-36.117283806959165,146.79085682087464
204031075,Yackandandah,-36.32985015775081,146.99782405343547
204031491,Baranduda - Leneva,-36.17581077720069,146.93963858643116
204031492,Wodonga,-36.11116162242159,146.88008547514107
205011076,Drouin,-38.135377780280244,145.8019626631914
205011077,Mount Baw Baw Region,-37.88939885766721,146.18683174227183
205011078,Trafalgar (Vic.),-38.22385719918118,146.12654756776783
205011079,Warragul,-38.21400480554211,145.93973827154477
205021080,Alps - East,-36.993678532090875,148.0357976529161
205021081,Bairnsdale,-37.82915582938977,147.61399545528533
205021082,Bruthen - Omeo,-37.31893616169854,147.5832791207659
205021083,Lake King,-37.88307296915912,147.76358454103118
205021084,Lakes Entrance,-37.83978775566734,147.9280719312454
